K,germ_band_push,int_curvature_CF,t_MD,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_CF_bool,add_CF_bool_std,add_CF_bool_max,t_CF,t_CF_std,t_CF_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy_afterMD,t_at_maxBendEnergy_afterMD_std,t_at_maxBendEnergy_afterMD_max,nb_folds_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD_std,nb_folds_at_maxBendEnergy_afterMD_max,avg_depth_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD_std,avg_depth_at_maxBendEnergy_afterMD_max,max_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD_std,max_depth_at_maxBendEnergy_afterMD_max,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_std,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_max,CF_area_of_influence_current_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD_std,CF_area_of_influence_current_at_maxBendEnergy_afterMD_max
0.0001,0.0,0.5,0.0,320.85,187.81241341183747,616,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.95,0.22360679774997894,1,0.0937000915608135,0.025753897140251263,0.11283807015079951,0.37139058585811824,0.08723971825225282,0.39799458804988436,1.0194808879879522,0.3738517243572417,1.2887343053572313,1.016025796393642,0.3728319664259447,1.2936226087228069,423.49999953461156,282.95126917244596,999.999998191639,0.95,0.22360679774997894,1,0.022700924233853448,0.005481269930993276,0.026608794303213865,0.205577489068156,0.04875053673767435,0.23072477390844123,0.24624030477361383,0.22917226738120836,0.48327536450896175,0.24203821966246375,0.22532909698952258,0.47683976965525954
0.0001,0.0,0.5,5.0,319.2,185.75099348037784,617,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.1109668201473395,0.0018781401440649578,0.1138667572041257,0.3938048378900243,0.0023784091115577563,0.39815687827678914,1.280679715948748,0.026159191074141636,1.311747417952896,1.2780126335478272,0.026955501255880046,1.3141200311936507,21.2999999993628,3.6288319128384194,29.99999999903344,1.0,0.0,1,0.017966951831426544,0.0026580890006710546,0.022314665433622823,0.18546681233093976,0.01640463819975448,0.21212304202525742,0.375113735309337,0.03510020852334299,0.43724913931763204,0.3659407201158654,0.03642769396099614,0.4319877594938744
0.0001,0.0,1.0,0.0,319.6,190.0170075490474,624,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10279245960722679,0.013559780548401719,0.11183684124797472,0.3910582700790208,0.014456222926796635,0.39958140499238776,1.1690661198597736,0.13158739378368556,1.2887343053572313,1.1654601040095844,0.13125579374913776,1.2837337381055889,309.29999978996966,224.13179818875426,935.9999983532234,1.0,0.0,1,0.02393098970378755,0.0032113098763784484,0.02976621854181487,0.21640038096370978,0.017109942852567343,0.24677088720890136,0.4073320929432677,0.14325060618169874,0.5062884771046265,0.3993587448720458,0.14071407639904485,0.4998017691979195
0.0001,0.0,1.0,5.0,318.15,189.40162701463117,625,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11119317703509109,0.0011717321124798128,0.11304458005459303,0.3951180287948677,0.002856891149675961,0.3997648565349,1.2818303715785315,0.019894944595945156,1.311747417952896,1.2798059433812832,0.020951132100589107,1.3139101432303533,12.299999999703518,1.3416407864490827,17.99999999948773,1.0,0.0,1,0.012614111721048923,0.0014762847623854185,0.01835815787275418,0.14887263885453128,0.010371305974742916,0.1860405036334976,0.30262243063299266,0.02147818411501281,0.3682098015306375,0.2896436439243503,0.022388265000974215,0.35948797233286267
0.0001,0.0,2.0,0.0,317.85,189.0575726848139,632,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11052998130322426,0.0014989065919334215,0.11452237775152975,0.39509627456544744,0.0024344040675452075,0.39851089135878365,1.2680225040211321,0.02098587614160377,1.311747417952896,1.2652569052981253,0.01999102335994047,1.3087089943864445,60.9000000081665,27.89057566666251,138.00000003260357,1.0,0.0,1,0.022860246199633456,0.0034478788390369408,0.0298546352081656,0.21234745223382548,0.018810309643172887,0.24632367371624106,0.43839979494741516,0.03294976282537605,0.5062884771046265,0.43014872480487953,0.034168523843915374,0.4988211221420256
0.0001,0.0,2.0,5.0,320.95,188.54888379130588,633,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11073426203917425,0.0019077560042204999,0.11346763061507244,0.39567446330721956,0.0031183759145393107,0.39962751414971953,1.2714744709104822,0.027811861346617485,1.311747417952896,1.2680372358520606,0.02793025556842487,1.3098550570236265,11.999999999714875,0.0,11.999999999714875,1.0,0.0,1,0.015047735378149976,0.0004381700935992478,0.015973296402540842,0.16830637395518436,0.0025129920482066443,0.17218130109395763,0.3336901326371402,0.01180547766862516,0.3451966889349727,0.32372234801477345,0.011168750114264039,0.337464429374843
0.0001,0.0,5.0,0.0,317.3,191.70758983410124,608,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11047243258779496,0.0014035055097830294,0.11249986866728155,0.3949715548791045,0.003368075185135232,0.39948548043155313,1.274926437799832,0.027331656810307713,1.311747417952896,1.2710095069415375,0.026637845957940994,1.3067942180625503,24.59999999923787,3.8443396529575873,29.99999999903344,1.0,0.0,1,0.02081367044395579,0.002426527515576181,0.02424949998489052,0.20476881522022733,0.013551639342564693,0.22358452623773636,0.41078405983261745,0.028209904644308288,0.4602622519132969,0.40267939790106666,0.028997758870074882,0.45251027532617827
0.0001,0.0,5.0,5.0,317.05,191.59866909767405,609,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10981709303920514,0.0016565388090942453,0.11207545763402656,0.3950206286861412,0.0035919938006189344,0.3999040072995905,1.261118570242433,0.024308966342769415,1.2887343053572313,1.257350489496121,0.024471856476822085,1.2871374388938632,11.999999999714875,0.0,11.999999999714875,1.0,0.0,1,0.01938276964432318,0.000499378034155648,0.020540637705144908,0.1961455938454983,0.0022544607488749735,0.20080550382551868,0.39237356975608567,0.005145888413776329,0.4142360267219672,0.38467589589953366,0.0049124996319758535,0.40486919551698436
0.0001,0.2,0.5,0.0,321.15,185.31914861153788,618,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11597026826153227,0.005496134167212744,0.12100956015241023,0.3936789084208513,0.003611175388429437,0.39933673760721233,0.8353759872226334,0.7021669466798893,1.4498260935268845,0.8349688267842401,0.7018126693199044,1.4529011983632456,188.9999999612528,145.7849893014724,647.9999990803535,1.0,0.0,1,0.01895640359702691,0.0036418959742784925,0.02668252834293691,0.20016941294558133,0.021264802515909405,0.24041247160477303,0.019561145706315116,0.08748010303419747,0.39122291412630233,0.019360106463296202,0.0865810282071267,0.38720212926592407
0.0001,0.2,0.5,5.0,321.2,186.45546949677598,619,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10574648840781216,0.0009284457162108601,0.10726168598276106,0.3853237930564751,0.003060106398876613,0.39000624291989827,1.4452234710077518,0.019181630792996836,1.4728392061225501,1.443737289698012,0.020021430922643902,1.4785886778033626,11.699999999726233,1.3416407864490825,11.999999999714875,1.0,0.0,1,0.018074280923356424,0.0027810133943913713,0.019881345700445925,0.19515651784545213,0.02088591951601824,0.20586068446194006,0.384318980347603,0.044860815140775605,0.4142360267219672,0.3808694072132627,0.04994275270954654,0.4148986326037727
