K,germ_band_push,int_curvature_CF,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_MD_bool,add_MD_bool_std,add_MD_bool_max,add_CF_bool,add_CF_bool_std,add_CF_bool_max,CF_position,CF_position_std,CF_position_max,t_CF,t_CF_std,t_CF_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy,t_at_maxBendEnergy_std,t_at_maxBendEnergy_max,nb_folds_at_maxBendEnergy,nb_folds_at_maxBendEnergy_std,nb_folds_at_maxBendEnergy_max,avg_depth_at_maxBendEnergy,avg_depth_at_maxBendEnergy_std,avg_depth_at_maxBendEnergy_max,max_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy_std,max_depth_at_maxBendEnergy_max,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy_std,CF_area_of_influence_ref_at_maxBendEnergy_max,CF_area_of_influence_current_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy_std,CF_area_of_influence_current_at_maxBendEnergy_max
0.0001,0.0,0.5,118.85,71.59041026635663,237,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,1.0,0.0,1,0.07950624984973338,0.003771907196106487,0.08662484058379535,0.2626165402691848,0.009235941056688414,0.2773364119241713,1.150655629783242,0.04353645048218703,1.2657211927615657,1.1567072718475937,0.04334026215649908,1.2697956003207826,370.2999997814786,35.37037109753693,399.9999997064933,1.0,0.0,1,0.07465957324678288,0.008076153934412853,0.08428314436284111,0.2526179713475706,0.017997005695215652,0.2773275195759425,1.1115333383706119,0.06928115757392464,1.1966818549745715,1.1176243367783925,0.0692834885603291,1.2031729387833314
0.0001,0.0,2.0,119.7,71.51304628858769,234,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,1.0,0.0,1,0.17316855686717514,0.00120413777160337,0.17510472569563013,0.3947584041940314,0.002324379100432881,0.3990950981671248,1.994086206414358,0.017148446847953944,2.0251539084185066,2.055099280710546,0.018856168980374607,2.0885027310382305,394.69999971987454,5.704107462256298,399.9999997064933,1.0,0.0,1,0.1734219391110905,0.0010916067816415687,0.1761012411050392,0.39505074839024995,0.0021747791994953187,0.3991160096929758,1.9940862064143583,0.017148446847954007,2.0251539084185066,2.053726191791597,0.01835671410473588,2.0883781259028047
0.0001,0.0,5.0,119.2,71.5965303481582,231,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,2.0,0.0,2,0.15105953266215438,0.0011127211526109975,0.1526815682356777,0.35480528650040966,0.00389091280457199,0.3624340356486905,0.0,0.0,0.0,0.0,0.0,0.0,224.70000006012333,8.590692640692636,234.0000000630753,2.0,0.0,2,0.15359193097704277,0.001646738756682305,0.1576621701439747,0.3907535946055419,0.0025821949971080436,0.3946723800440123,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,7.5,120.15,69.76296333034871,228,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,2.0,0.0,2,0.14795812488129093,0.0011186237261347706,0.14987116493055352,0.34592440555188764,0.0031598371582774918,0.35040773329101055,0.0,0.0,0.0,0.0,0.0,0.0,152.70000003726955,8.367229312038365,168.00000004212598,2.0,0.0,2,0.15135470914371563,0.001442794298180489,0.15671628503882912,0.3924930747356898,0.002863236032657735,0.397977568590692,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.2,0.5,119.3,69.43615014794831,236,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,1.0,0.0,1,0.11001265728158356,0.0008150137688051841,0.11220790433044257,0.3734410776047399,0.0039420372991214175,0.37968234193778055,1.2012844774937042,0.017668821089282388,1.242708080165901,1.204876320208594,0.017808873072534277,1.2457443390162268,20.699999999385515,3.0625067130883044,23.999999999260588,1.0,0.0,1,0.022295634453913454,0.0032210834793360466,0.027154714914442272,0.1902355121174936,0.016170218902994835,0.21388300551596157,0.39007225849651916,0.031212039790135593,0.43724913931763204,0.38194616670060777,0.03199944479701376,0.4324717963831734
0.0001,0.2,2.0,120.45,72.12085981914409,233,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,2.0,0.0,2,0.11897067040932449,0.0010856262980265337,0.12193215543612046,0.3869445597333444,0.00330217760009374,0.3912660307198703,0.0,0.0,0.0,0.0,0.0,0.0,11.999999999714875,0.0,11.999999999714875,1.0,0.0,1,0.02165495165027033,0.00045588298488538924,0.022409041729533542,0.18949288878415285,0.0023025993169053117,0.19306172386007775,0.3716617684199873,0.008430797383524735,0.39122291412630233,0.36955811386855675,0.008398478854734636,0.3902581656570742
0.0001,0.2,5.0,118.5,71.7792669083123,230,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,2.0,0.0,2,0.1214220661260147,0.001140336685300489,0.12321218721738088,0.3906352514956417,0.0031027302989950593,0.39638206622133515,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.0176689315701204,0.0003169460057652378,0.01833360610118581,0.17182589334677686,0.0018328525661036644,0.17601000384484355,0.32793685448822396,0.01022384356483926,0.3451966889349727,0.3328718074902032,0.009971251606892542,0.3508721041395288
0.0001,0.2,7.5,120.1,71.053649115521,232,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,2.0,0.0,2,0.12123916992776289,0.0013104324664877322,0.12322557751142528,0.3922407969527001,0.003282587846839804,0.3968585028906497,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.021317813388445222,0.0001805068390378882,0.021601170281191736,0.19493110905818203,0.0010337564628829087,0.1969186973113138,0.3682098015306376,0.0,0.3682098015306375,0.3826286011488033,0.0009136444267044629,0.3841901023518114
0.0001,0.4,0.5,118.9,69.69474797096869,235,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,1.25,0.4442616583193193,2,0.09653041012522708,0.008268579392436429,0.12405124924776453,0.3338090227403023,0.007287372481100942,0.3481415281222481,1.0896708814047302,0.4706981778670299,1.311747417952896,1.0948157386029451,0.472959485570517,1.3200188556257122,7.799999999873878,4.807888254934177,23.999999999260588,1.1,0.3077935056255463,2,0.016406035603624365,0.01163812410699223,0.05174588631324911,0.1602487908455355,0.04225491258529331,0.28861089317007993,0.3014717750032093,0.09703499425272596,0.598340927487286,0.2935979868190375,0.10194663038279057,0.6037839300107253
0.0001,0.4,2.0,119.65,71.28908900053581,229,1e-05,0.0,1e-05,1e-05,0.0,1e-05,400.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,399.9999997064933,0.0,399.9999997064933,2.0,0.0,2,0.09305922149041793,0.0026495261842127186,0.0987499930332446,0.33816583860640703,0.0035378099697797967,0.3434423114250333,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.02074723630835717,0.00034242545617569877,0.02158962238148758,0.19578297591131497,0.00180255943855205,0.19950221708665358,0.3682098015306376,0.0,0.3682098015306375,0.36900644390597886,0.001318206550378868,0.3710851751234446
