K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_MD_bool,add_CF_bool,CF_position,t_CF,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy,nb_folds_at_maxBendEnergy,avg_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy
0.0001,5.0,12,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_12_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12027612057479821,0.3887209075966782,0.0,0.0,5.9999999999420215,1,0.01833360610118581,0.17601000384484355,0.3451966889349727,0.35030609870406143
0.0001,0.5,13,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_13_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.10971165536420996,0.37069153997826554,1.2196949675702362,1.2236415168704626,23.999999999260588,1,0.023568575602416306,0.19859340189613317,0.4142360267219672,0.40642868834712575
0.0001,0.5,14,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_14_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.08416266107155096,0.273425892560582,1.1966818549745715,1.2047624562564418,359.9999998074836,1,0.07411587924595825,0.24540391707715917,1.1276425171875772,1.12933654470618
0.0001,0.5,15,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_15_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.10506465828835694,0.3481415281222481,1.2887343053572313,1.298227266126303,5.9999999999420215,1,0.010936764486003756,0.13499471351483672,0.25314423855231327,0.24076154597737218
0.0001,5.0,16,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_16_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10029376066217469,0.3467212047918999,0.0,0.0,5.9999999999420215,1,0.02515278988874607,0.22153577403843638,0.4142360267219672,0.422217923016397
0.0001,5.0,17,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_17_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.15200833489116666,0.35595886968353846,0.0,0.0,228.0000000611708,2,0.15250588302995008,0.39275148780385394,0.0,0.0
0.0001,2.0,18,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_18_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.11967174967373669,0.3886438376921276,0.0,0.0,11.999999999714875,1,0.02180828879387916,0.19039781681477888,0.39122291412630233,0.3875608171397136
0.0001,7.5,19,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_19_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.14706831699778675,0.34645397107800735,0.0,0.0,144.00000003450805,2,0.15119353840851613,0.39018172955946834,0.0,0.0
0.0001,7.5,20,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_20_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12266751195882651,0.3936333875303547,0.0,0.0,5.9999999999420215,1,0.021127969891091697,0.1949674058574702,0.3682098015306375,0.3832310430351632
0.0001,7.5,21,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_21_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10350427483611094,0.35989827062138974,0.0,0.0,5.9999999999420215,1,0.02859905683112907,0.23891152866162638,0.4602622519132969,0.47326346512740264
0.0001,2.0,22,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_22_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.17211732690482948,0.39712124904692553,2.002140795822841,2.0623260612364533,389.9999997317409,1,0.17248448307428366,0.39390139645844274,2.002140795822841,2.060683337016529
0.0001,2.0,23,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_23_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.09418985718856002,0.3404701226892856,0.0,0.0,5.9999999999420215,1,0.020864293963621508,0.1965936966323527,0.3682098015306375,0.36763944632272155
0.0001,2.0,24,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_24_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.11831728514947916,0.3817814750218171,0.0,0.0,11.999999999714875,1,0.02214979361180873,0.19306172386007775,0.39122291412630233,0.3902581656570742
0.0001,2.0,25,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_25_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.09257722286304874,0.33669154150996866,0.0,0.0,5.9999999999420215,1,0.02082322746743526,0.19685322805625474,0.3682098015306375,0.37001528152039165
0.0001,2.0,26,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_26_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.1729955268774518,0.39676530332698107,1.9791276832271762,2.038062718977084,395.9999997165924,1,0.1733570567332822,0.397300467238665,2.002140795822841,2.061625808243784
0.0001,7.5,27,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_27_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.08899701150706665,0.3379016407393922,0.0,0.0,5.9999999999420215,1,0.02872154569225117,0.24082807119254876,0.4602622519132969,0.47872527320061226
0.0001,5.0,28,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_28_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.1518903039041849,0.3522409452883481,0.0,0.0,228.0000000611708,2,0.15551610552455575,0.39098469149443543,0.0,0.0
0.0001,5.0,29,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_29_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12180162267695974,0.38849290302789613,0.0,0.0,5.9999999999420215,1,0.018229814090417244,0.17522196203259044,0.3451966889349727,0.3508721041395288
