K,germ_band_push,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_MD_bool,add_MD_bool_std,add_MD_bool_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy,t_at_maxBendEnergy_std,t_at_maxBendEnergy_max,nb_folds_at_maxBendEnergy,nb_folds_at_maxBendEnergy_std,nb_folds_at_maxBendEnergy_max,avg_depth_at_maxBendEnergy,avg_depth_at_maxBendEnergy_std,avg_depth_at_maxBendEnergy_max,max_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy_std,max_depth_at_maxBendEnergy_max,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy_std,CF_area_of_influence_ref_at_maxBendEnergy_max,CF_area_of_influence_current_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy_std,CF_area_of_influence_current_at_maxBendEnergy_max
5.9999999999999995e-05,0.0,912.375,475.51219753020007,1592,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.999998191639,0.0,999.999998191639,0.0,0.0,0,0.006015899195458808,0.0016273794081230945,0.009418485397075974,0.01887186076137882,0.005651378700036001,0.0344494753085492,0,0.0,0,0,0.0,0,999.999998191639,0.0,999.999998191639,0.0,0.0,0,0.006015899195458808,0.0016273794081230945,0.009418485397075974,0.01887186076137882,0.005651378700036001,0.0344494753085492,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.05,820.8947368421053,482.8088987876446,1590,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.6842105263157895,0.4775669329409193,1,0.03573813069113572,0.02475286759866232,0.061914425623445984,0.16103540065343758,0.10869584184307873,0.25853405162863147,0,0.0,0,0,0.0,0,661.8421042986906,295.10455007763204,999.999998191639,0.6842105263157895,0.4775669329409193,1,0.013856123733490142,0.008829147820906103,0.02487727836323546,0.09613548643901841,0.06329829891513102,0.16185441977456713,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.1,815.8,472.6547198648569,1589,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.09504044218652208,0.004728685413701368,0.10343869575264071,0.3585664181840257,0.008474678166106735,0.37472455762004914,0,0.0,0,0,0.0,0,110.25000001185822,66.9539315084667,339.9999998579788,1.1,0.3077935056255462,2,0.020512911215419552,0.00346174403684894,0.029091912341183336,0.16288347235274278,0.01582467671479405,0.1920354780483752,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.15,872.9444444444445,456.897268955599,1588,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916392,0.0,999.999998191639,1.0,0.0,1,0.11270919309298308,0.0046321042165108454,0.12265424035343589,0.39458973573289896,0.003985826709406707,0.3994112189427819,0,0.0,0,0,0.0,0,45.0000000030841,7.669649890908156,60.000000007845294,1.1666666666666667,0.3834824944236852,2,0.020579729407643448,0.004582074532734854,0.028416915560090544,0.17124161487028652,0.019428509992296197,0.19718287054100106,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.2,850.578947368421,454.88085323881774,1587,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.3157894736842106,0.4775669329409193,2,0.12248205731803063,0.007853635142931943,0.13880770300154535,0.3838476129533394,0.019823488852639303,0.3998181947529847,0,0.0,0,0,0.0,0,30.000000000024453,9.279607272829344,50.00000000467117,1.6842105263157894,0.7492686492653552,3,0.02320206114367581,0.007003673972535568,0.04168290130088382,0.16591444479036058,0.024784125486590522,0.20584055294283363,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.25,849.4736842105264,456.19225581875656,1586,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.368421052631579,0.4955946277833522,2,0.1246588200265194,0.009625977452064725,0.1459604907313343,0.38376695168434066,0.01950646564792885,0.39874410723930986,0,0.0,0,0,0.0,0,21.842105263042424,10.029197143406915,50.00000000467117,1.736842105263158,0.5619514869490163,3,0.022478836328991135,0.008406962296487665,0.04108683943614115,0.1647793700976275,0.030707145775767768,0.23644525791263674,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.3,854.4736842105264,461.823964589329,1585,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.263157894736842,0.4524139283588641,2,0.1284463967165028,0.009307013601850432,0.1558944284512229,0.3910420958468924,0.005465946276971622,0.39854397120543905,0,0.0,0,0,0.0,0,22.10526315795629,11.93917332479506,50.00000000467117,2.0,0.4714045207910317,3,0.026321708947711932,0.009923385274823669,0.05453249883856349,0.17117303013578405,0.039808944376270465,0.23790578345556138,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.35,961.8666666666667,457.7992177904237,1591,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.999998191639,0.0,999.999998191639,1.0666666666666667,0.2581988897471612,2,0.1287531082205931,0.011663036562557913,0.16636861188458496,0.39170896425832896,0.004193131068509455,0.39817154892574863,0,0.0,0,0,0.0,0,14.9999999996013,4.225771273482605,24.99999999922273,1.8,0.5606119105813882,3,0.021747493276189904,0.005151253084976293,0.02834596570982963,0.15984378141239827,0.018868057490061468,0.1961110809674285,0,0.0,0,0,0.0,0
5.9999999999999995e-05,0.4,817.3,476.6674996925613,1600,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.1,0.3077935056255463,2,0.11940320622025773,0.016055823972432593,0.14163946763327406,0.38586904252571325,0.018949428690059597,0.3981588929421605,0,0.0,0,0,0.0,0,18.499999999841833,10.143704296625065,50.00000000467117,1.65,0.5871429486123998,3,0.023696986316846236,0.012781746880857321,0.05562986229334441,0.1703728949460058,0.042755165809828626,0.2584016730908264,0,0.0,0,0,0.0,0
7e-05,0.0,811.65,477.30507457026505,1609,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.0,0.0,0,0.006165003235472191,0.0016220298458852057,0.008889133493490393,0.017936836484808035,0.0065720842842143384,0.030098445083845835,0,0.0,0,0,0.0,0,999.9999981916393,0.0,999.999998191639,0.0,0.0,0,0.006165003235472191,0.0016220298458852057,0.008889133493490393,0.017936836484808035,0.0065720842842143384,0.030098445083845835,0,0.0,0,0,0.0,0
