K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_CF_bool,CF_position,t_CF,t_MD,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD
0.0001,2.0,213,0.4,1e-05,1e-05,1000.0,1.0,0.37,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_213_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0_t_MD_5.0/,999.999998191639,2,0.09213059648606085,0.3392574260703106,0.0,0.0,5.9999999999420215,1,0.024228777006444383,0.21420084247360457,0.5062884771046265,0.5006314782866975
0.0001,2.0,214,0.2,1e-05,1e-05,1000.0,1.0,0.6,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_214_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.6_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.12367846140542217,0.395049681436546,1.4498260935268845,1.4528449946081283,23.999999999260588,1,0.024180718698199755,0.22674110752967658,0.4602622519132969,0.4550056169706342
0.0001,2.0,215,0.4,1e-05,1e-05,1000.0,1.0,0.27,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_215_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_5.0/,999.999998191639,2,0.12108537309900864,0.3230940999146641,1.4268129809312198,1.429391055342097,29.99999999903344,2,0.06327262916903852,0.30409793091221554,0.7824458282526047,0.7899449248779981
0.0001,2.0,216,0.2,1e-05,1e-05,1000.0,1.0,0.47,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_216_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.47_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.12030291618179764,0.39694059869027415,1.4728392061225501,1.4721641216566306,17.99999999948773,1,0.012979163827496051,0.1636941430064277,0.299170463743643,0.29227746266349547
0.0001,2.0,217,0.0,1e-05,1e-05,1000.0,1.0,0.17,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_217_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.0806447381206929,0.35449344549059053,1.1046294045919125,1.0983109141524454,11.999999999714875,1,0.015847856096687037,0.17458059560290715,0.32218357633930783,0.31580592195592405
0.0001,2.0,218,0.0,1e-05,1e-05,1000.0,1.0,0.27,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_218_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.09582874838320353,0.3844082218269939,1.1966818549745715,1.1922663483113418,162.0000000402215,1,0.01876460755811661,0.189410662875827,0.39122291412630233,0.38234568448975864
0.0001,2.0,219,0.0,1e-05,1e-05,1000.0,1.0,0.27,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_219_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.09892068854909467,0.38216522660984265,1.1966818549745715,1.1964568502807686,11.999999999714875,1,0.016030932555618268,0.176249871332852,0.3451966889349727,0.3352529637950143
0.0001,2.0,220,0.0,1e-05,1e-05,1000.0,1.0,0.37,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_220_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.1106608921080829,0.39872557505100004,1.242708080165901,1.238574128842602,102.00000002117667,1,0.022383984215015983,0.21040251252649445,0.43724913931763204,0.4305972119053427
0.0001,2.0,221,0.0,1e-05,1e-05,1000.0,1.0,0.37,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_221_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.11040523921685266,0.3897836442428311,1.2887343053572313,1.2883860665144837,11.999999999714875,1,0.014418046639077108,0.16518606994823232,0.32218357633930783,0.31155134517400235
0.0001,2.0,222,0.0,1e-05,1e-05,1000.0,1.0,0.47,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_222_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.47_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.11150935094185499,0.3881189083660055,1.242708080165901,1.2417343991486804,72.00000001165427,1,0.02341630352212692,0.21508061183740057,0.4602622519132969,0.44941423466152963
