K,germ_band_push,int_curvature_CF,CF_position,t_MD,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_CF_bool,add_CF_bool_std,add_CF_bool_max,t_CF,t_CF_std,t_CF_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy_afterMD,t_at_maxBendEnergy_afterMD_std,t_at_maxBendEnergy_afterMD_max,nb_folds_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD_std,nb_folds_at_maxBendEnergy_afterMD_max,avg_depth_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD_std,avg_depth_at_maxBendEnergy_afterMD_max,max_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD_std,max_depth_at_maxBendEnergy_afterMD_max,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_std,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_max,CF_area_of_influence_current_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD_std,CF_area_of_influence_current_at_maxBendEnergy_afterMD_max
0.0001,0.0,2.0,0.17,0.0,482.05,285.2128429602596,938,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.55,0.5104177855340405,1,0.04885840731004597,0.04865478349236834,0.1120396549197134,0.20769020972971566,0.19162059327104422,0.3959088983582182,0.0,0.0,0.0,0.0,0.0,0.0,724.7999988125557,371.023845783753,999.999998191639,0.55,0.5104177855340405,1,0.014258373362768676,0.012771632647421012,0.03103996727758051,0.12393567692181076,0.11293084052031124,0.2502024838181653,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,2.0,0.17,5.0,482.65,283.90663309579344,939,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.05,0.22360679774997896,2,0.07784160221719565,0.001858334426170821,0.08334820433917264,0.3526704363158643,0.004715892561003787,0.3606927104495195,1.082766947626031,0.03209266503509444,1.1276425171875772,1.0812341616585235,0.03242283566991274,1.1305105632503554,11.999999999714875,0.0,11.999999999714875,1.05,0.22360679774997896,2,0.015609882471617612,0.000704011290582061,0.017793658640657763,0.1748173425572642,0.0019350934007772995,0.17784666470205884,0.3313888213775737,0.01156695858318127,0.3451966889349727,0.32406322435865237,0.011047934031218674,0.338095696972139
0.0001,0.0,2.0,0.27,0.0,483.65,283.90663309579344,940,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.05,0.22360679774997896,2,0.0978720954028602,0.008216351970428276,0.1134804639280769,0.38428823693561165,0.007551946232384585,0.39872418147548505,1.0551512125112326,0.36686554701289675,1.2887343053572313,1.0517779048570757,0.3657007603229368,1.2840794047403645,205.19999996184742,141.0567633022799,659.9999990500564,1.1,0.3077935056255462,2,0.022316208196811665,0.005257179850267897,0.03438318275745692,0.2037773261726214,0.02271390081187835,0.25301270919488966,0.3003211193734262,0.17017504948472909,0.4602622519132969,0.2924109520695767,0.16668598753534408,0.4512393208588479
0.0001,0.0,2.0,0.27,5.0,484.65,283.90663309579344,941,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.09567359003703925,0.0017796659993475866,0.0995495885149142,0.3804855329827204,0.0028128461499326513,0.3852692212145012,1.2070377556426208,0.02298281223677593,1.242708080165901,1.2043308779709494,0.023803211540749897,1.243096551574208,11.999999999714875,0.0,11.999999999714875,1.0,0.0,1,0.01636043073285265,0.0005524834765071398,0.01774581408577119,0.1803918578598763,0.0025045248288258584,0.1853528314724836,0.3463473445647559,0.013918452900675619,0.3682098015306375,0.3389049523560342,0.013427870049853807,0.36216775776862065
0.0001,0.0,2.0,0.37,0.0,485.65,283.90663309579344,942,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10970208579911618,0.0013398569604659647,0.11195097399015815,0.3957476141701721,0.0030589150069530173,0.3990929096709446,1.2496120139446,0.0225234158791078,1.2887343053572313,1.2459883871494803,0.022404661192200748,1.2845812963157224,68.40000001051158,28.437188411020777,132.00000003069908,1.0,0.0,1,0.023236065746154992,0.00392727034518284,0.029836142409620143,0.2139399458702525,0.021578695424856287,0.2457154242679813,0.4441530730963315,0.044235110646420675,0.5293015897002914,0.4353802835309833,0.0453918577711231,0.5224965166388413
0.0001,0.0,2.0,0.37,5.0,487.7,284.3217413979785,943,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11081886083620643,0.0011302610017844812,0.11313585414277565,0.3950305133903305,0.0039935751171843465,0.39982683990725754,1.2760770934296148,0.018999118261899067,1.311747417952896,1.2735047183096588,0.019921669981744636,1.3142955174317308,11.999999999714875,0.0,11.999999999714875,1.0,0.0,1,0.014769665531339796,0.0003828160085734199,0.015606512754212867,0.16758238929740316,0.002512381871886169,0.17255714866992122,0.33714209952648994,0.011261707939553875,0.3451966889349727,0.3269483731823791,0.010953867415313182,0.336684103033433
0.0001,0.0,2.0,0.47,0.0,487.85,283.90125692608433,944,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11181074783883711,0.001303877013800994,0.11437616764293032,0.3923551010757375,0.002948292306054378,0.3985937014018187,1.2691731596509155,0.021478184115013073,1.311747417952896,1.2664755667215644,0.02101764830168345,1.3094167013293023,75.60000001279695,23.63405215800342,156.00000003831698,1.0,0.0,1,0.025146839355192463,0.0028263355477663073,0.030140214489129458,0.2231978181911225,0.014115068303524535,0.24717904625227144,0.47061815258134604,0.03539675174122369,0.5293015897002914,0.4626698529641097,0.03588100997339103,0.5195973975221203
0.0001,0.0,2.0,0.47,5.0,488.55,283.56034816707285,945,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.05,0.22360679774997896,2,0.1146225855915137,0.004497679563088303,0.13330823041747927,0.38943705697072584,0.010440779664647896,0.3975058690955262,1.2691731596509157,0.08323489683633241,1.311747417952896,1.2657634148689794,0.08341780827766489,1.3125192401630594,30.899999999603324,5.250563880124937,42.000000002131856,1.05,0.22360679774997896,2,0.024389161387809527,0.0038094314562064895,0.03324799562516779,0.21234919831997595,0.01818268359733574,0.24413240070389147,0.4533583181345975,0.03588554527349312,0.5062884771046265,0.4449748227764118,0.0364410065450215,0.4991195357377251
0.0001,0.0,2.0,0.6,0.0,489.3,283.98130034804825,946,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10097473650135738,0.0037591137915132665,0.11152914441503668,0.38692349159060047,0.004068382637936836,0.3938228034266277,1.2127910337915366,0.03957917338127123,1.2887343053572313,1.2107356204761672,0.039614623702306964,1.2866322553738596,142.50000001896842,70.34613666487623,359.9999998074836,1.0,0.0,1,0.02342221807089967,0.004176185807219361,0.0329770585790508,0.21321260029902483,0.021443312579027627,0.25913336360694805,0.4280438942793661,0.10983536254927326,0.5523147022959563,0.4191353998845643,0.10841125265573784,0.5448745590445401
0.0001,0.0,2.0,0.6,5.0,490.3,283.98130034804825,947,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.05,0.22360679774997896,2,0.10475103164828822,0.0035518296637924063,0.11522778160728936,0.38886090732522655,0.003928252409868255,0.3983156827502974,1.2173936563106698,0.14321168467407036,1.311747417952896,1.2138928113012404,0.14299723778909226,1.307812728164541,64.20000000932055,13.07307397876885,84.00000001546324,1.1,0.3077935056255462,2,0.03224605027416851,0.004384112230751255,0.03958738539229337,0.2465279779326785,0.02851971722363689,0.2824720079396913,0.5223976559215918,0.08351071740405383,0.6213540400829508,0.5146966510782041,0.08552197665237513,0.6165710799978485
